Position	Player	Opp	Passing_Yards	Passing_TD	Passing_Int	Rushing_Yds	Rushing_TD	Receiving_Yds	Receiving_TD	Misc_FumTD	Misc_2PT	Fum_Lost	Fantasy_Points
RB	Thomas RawlsRB - SEA	Bye	-	-	-	349	3	96	-	-	-	-	62.5
RB	Paul PerkinsRB - NYG	Bye	-	-	-	456	-	162	-	-	-	-	61.8
RB	Rex BurkheadRB - NEView NewsView Videos	Bye	-	-	-	344	2	145	-	-	-	1	58.9
RB	Jeremy LangfordRB - CHI	Bye	-	-	-	200	4	142	-	-	-	2	54.2
RB	Travaris CadetRB - NO	Bye	-	-	-	19	-	281	4	-	-	-	54
RB	Alfred BlueRB - HOUView News	Bye	-	-	-	420	1	40	-	-	-	1	50
RB	Fozzy WhittakerRB - CAR	Bye	-	-	-	265	-	226	-	-	-	1	47.1
RB	Jamize OlawaleRB - OAK	Bye	-	-	-	47	2	227	1	-	-	-	45.4
RB	C.J. ProsiseRB - SEA	Bye	-	-	-	172	1	208	-	-	-	-	44
RB	Charles SimsRB - TB	Bye	-	-	-	149	1	190	1	-	-	1	43.9
RB	Justin ForsettRB	Bye	-	-	-	291	1	85	-	-	-	1	41.6
RB	John KuhnRB - NO	Bye	-	-	-	37	4	70	1	-	-	-	40.7
RB	Wendell SmallwoodRB - PHIView News	Bye	-	-	-	312	1	55	-	-	-	1	40.7
RB	James StarksRB	Bye	-	-	-	145	-	134	2	-	-	-	39.9
RB	Eddie LacyRB - SEAView Videos	Bye	-	-	-	360	-	28	-	-	-	-	38.8
RB	Dwayne WashingtonRB - DETView NewsView Videos	Bye	-	-	-	265	1	62	-	-	-	-	38.7
RB	Dion LewisRB - NEView News	Bye	-	-	-	283	-	94	-	-	-	-	37.7
RB	Aaron RipkowskiRB - GBView News	Bye	-	-	-	150	2	46	1	-	-	-	37.6
RB	Alfred MorrisRB - DALView NewsView Videos	Bye	-	-	-	243	2	11	-	-	-	-	37.4
RB		Bye	-	-	-	22	1	266	-	-	1	-	36.8
RB	Kyle JuszczykRB - SFView Videos												
RB	Kenyan DrakeRB - MIA	Bye	-	-	-	179	2	46	-	-	-	-	34.5
RB	Corey GrantRB - JAX	Bye	-	-	-	164	1	35	1	-	-	-	31.9
RB	Peyton BarberRB - TB	Bye	-	-	-	223	1	28	-	-	-	-	31.1
RB	Kenjon BarnerRB - LAC	Bye	-	-	-	129	2	42	-	-	-	-	29.1
RB	Kerwynn WilliamsRB - ARI	Bye	-	-	-	157	2	6	-	-	-	-	28.3
RB	Cameron Artis-PayneRB - CARView Videos	Bye	-	-	-	144	2	11	-	-	-	-	27.5
RB	DuJuan HarrisRBView News	Bye	-	-	-	138	-	115	1	-	-	2	27.3
RB	Shane VereenRB - NYG	Bye	-	-	-	158	1	94	-	-	-	2	27.2
RB	Kapri BibbsRB - SFView News	Bye	-	-	-	129	-	75	1	-	-	-	26.4
RB	Alex CollinsRB - SEA	Bye	-	-	-	125	1	84	-	-	-	1	24.9
RB	Mike TolbertRB - BUF	Bye	-	-	-	114	-	72	1	-	-	-	24.6
RB	Orleans DarkwaRB - NYG	Bye	-	-	-	111	2	12	-	-	-	-	24.3
RB	Kenneth FarrowRB - LAC	Bye	-	-	-	192	-	70	-	-	-	1	24.2
RB	Ronnie HillmanRB - DALView Videos	Bye	-	-	-	131	-	93	-	-	-	-	22.4
RB	Ameer AbdullahRB - DETView News	Bye	-	-	-	101	-	57	1	-	-	-	21.8
RB	Lance DunbarRB - LA	Bye	-	-	-	31	1	122	-	-	-	-	21.3
RB	Danny WoodheadRB - BALView News	Bye	-	-	-	116	-	35	1	-	-	-	21.1
RB	Jonathan GrimesRB - JAX	Bye	-	-	-	105	-	94	-	-	-	-	19.9
RB	Bobby RaineyRB - BAL	Bye	-	-	-	63	-	153	-	-	-	1	19.6
RB	Benny CunninghamRB - CHIView NewsView Videos	Bye	-	-	-	101	-	91	-	-	-	-	19.2
RB	Ka'Deem CareyRB - CHIView News	Bye	-	-	-	126	-	55	-	-	-	-	18.1
RB	Andre EllingtonRB - ARI	Bye	-	-	-	96	-	85	-	-	-	-	18.1
RB	Denard RobinsonRB	Bye	-	-	-	144	-	22	-	-	-	-	16.6
RB	Terron WardRB - ATLView Videos	Bye	-	-	-	151	-	11	-	-	-	-	16.2
RB	Josh FergusonRB - IND	Bye	-	-	-	20	-	136	-	-	-	-	15.6
RB	Chris JohnsonRB - ARI	Bye	-	-	-	95	1	-	-	-	-	-	15.5
RB	Mack BrownRB - WAS	Bye	-	-	-	82	1	-2	-	-	-	-	14
RB	Akeem HuntRB - HOU	Bye	-	-	-	109	-	29	-	-	-	-	13.8
RB	Andy JanovichRB - DEN	Bye	-	-	-	33	1	44	-	-	-	-	13.7
RB	Mike DavisRB - SEAView Videos	Bye	-	-	-	50	1	25	-	-	-	1	11.5
RB	Jamaal CharlesRB - DEN	Bye	-	-	-	40	1	14	-	-	-	-	11.4
RB	Jonathan WilliamsRB - BUF	Bye	-	-	-	94	1	-	-	-	-	2	11.4
RB	Patrick DiMarcoRB - BUF	Bye	-	-	-	-	-	52	1	-	-	-	11.2
RB	Darren McFaddenRB - DALView NewsView Videos	Bye	-	-	-	87	-	17	-	-	-	-	10.4
RB	Antone SmithRB	Bye	-	-	-	47	-	77	-	-	-	1	10.4
RB	Alan CrossRB - TB	Bye	-	-	-	-	-	38	1	-	-	-	9.8
RB	George AtkinsonRB - OAK	Bye	-	-	-	34	1	-	-	-	-	-	9.4
RB	Marcel ReeceRB - SEA	Bye	-	-	-	-	-	73	-	-	1	-	9.3
RB	Terrell WatsonRB - PIT	Bye	-	-	-	28	1	5	-	-	-	-	9.3
RB	Fitzgerald ToussaintRB - PIT	Bye	-	-	-	58	-	33	-	-	-	-	9.1
RB	Derek WattRB - LAC	Bye	-	-	-	4	-	83	-	-	-	-	8.7
RB	Andre WilliamsRB - LAC	Bye	-	-	-	87	-	-	-	-	-	-	8.7
RB	Juwan ThompsonRB - DENView Videos	Bye	-	-	-	26	1	-	-	-	-	-	8.6
RB	Jerome FeltonRB	Bye	-	-	-	13	-	57	-	-	-	-	7
RB	Malcolm BrownRB - LA	Bye	-	-	-	39	-	46	-	-	-	1	6.5
RB	Adrian PetersonRB - NO	Bye	-	-	-	72	-	8	-	-	-	1	6
RB	Jordan TodmanRB - NYJ	Bye	-	-	-	59	-	-	-	-	-	-	5.9
RB	Knile DavisRB - PIT	Bye	-	-	-	28	-	25	-	-	-	-	5.3
RB	Javorius AllenRB - BAL	Bye	-	-	-	34	-	15	-	-	-	-	4.9
RB		Bye	-	-	-	44	-	5	-	-	-	-	4.9
RB	Troymaine PopeRB - IND												
RB	Brandon WildsRB - CLE	Bye	-	-	-	27	-	20	-	-	-	-	4.7
RB	Daniel LascoRB - NO	Bye	-	-	-	32	-	11	-	-	-	-	4.3
RB	Mike JamesRB - DETIR	Bye	-	-	-	19	-	22	-	-	-	-	4.1
RB	Taiwan JonesRB - BUF	Bye	-	-	-	-8	-	43	-	-	-	-	3.5
RB	Don JacksonRB	Bye	-	-	-	32	-	-	-	-	-	-	3.2
RB	Danny VitaleRB - CLE	Bye	-	-	-	-	-	27	-	-	-	-	2.7
RB	D.J. FosterRB - NE	Bye	-	-	-	24	-	2	-	-	-	-	2.6
RB	Brandon BoldenRB - NE	Bye	-	-	-	4	-	15	-	-	-	-	1.9
RB	James DevelinRB - NE	Bye	-	-	-	-	-	18	-	-	-	-	1.8
RB	J.D. McKissicRB - SEA	Bye	-	-	-	2	-	16	-	-	-	-	1.8
RB	Jalston FowlerRB - TEN	Bye	-	-	-	3	-	14	-	-	-	-	1.7
RB	Antonio AndrewsRB	Bye	-	-	-	15	-	-	-	-	-	-	1.5
RB	Zach LineRB	Bye	-	-	-	15	-	-	-	-	-	-	1.5
RB	Cedric PeermanRB - CIN	Bye	-	-	-	15	-	-	-	-	-	-	1.5
RB	Jay ProschRB - HOU	Bye	-	-	-	9	-	6	-	-	-	-	1.5
RB	Stepfan TaylorRB	Bye	-	-	-	12	-	-	-	-	-	-	1.2
RB	Anthony ShermanRB - KC	Bye	-	-	-	-	-	11	-	-	-	-	1.1
RB	Lorenzo TaliaferroRB - BAL	Bye	-	-	-	-	-	10	-	-	-	-	1
RB	Joe BanyardRB - BUF	Bye	-	-	-	7	-	-	-	-	-	-	0.7
RB	Daryl RichardsonRB	Bye	-	-	-	7	-	-	-	-	-	-	0.7
RB	Rod SmithRB - DALView Videos	Bye	-	-	-	-	-	4	-	-	-	-	0.4
RB	Marcus MurphyRB - NYJ	Bye	-	-	-	-	-	3	-	-	-	-	0.3
RB	Khiry RobinsonRB	Bye	-	-	-	22	-	-	-	-	-	1	0.2
RB	Dri ArcherRBNWT	Bye	-	-	-	-	-	-	-	-	-	-	0
RB		Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Zac BrooksRB												
RB	Tra CarsonRB - CIN	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	David CobbRB	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	John CrockettRB - OAK	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Aaron GreenRB - LA	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Glenn GronkowskiRB - NE	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	C.J. HamRB - MIN	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Austin JohnsonRB - TB	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Devon JohnsonRB	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Storm JohnsonRB - MIA	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Will JohnsonRB	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Tre MaddenRB - SEA	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Keith MarshallRB - WASIR	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Tre MasonRBNWT	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Branden OliverRB - LAC	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Jhurrell PressleyRB - ATL	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Darrin ReavesRB	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Bishop SankeyRB - MINIR	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Kelvin TaylorRB - ATL	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Karlos WilliamsRBNWT	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	George WinnRB - IND	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Glenn WinstonRB	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Brandon BurksRB	Bye	-	-	-	-4	-	-	-	-	-	-	-0.4
RB	Tyler ErvinRB - HOU	Bye	-	-	-	3	-	18	-	-	-	2	-1.9
RB	Matt BreidaRB - SF	Bye	-	-	-	-	-	-	-	-	-	-	0
RB		Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Chris CarsonRB - SEAView Videos												
RB	Corey ClementRB - PHIView Videos	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Tarik CohenRB - CHI	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	James ConnerRB - PITView Videos	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Dalvin CookRB - MINView Videos	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	LeShun DanielsRB - NE	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Justin DavisRB - LA	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Matt DayesRB - CLE	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Austin EkelerRB - LAC	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	D'Onta ForemanRB - HOUView Videos	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Leonard FournetteRB - JAXView Videos	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Wayne GallmanRB - NYG	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Tion GreenRB - DETView Videos	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	De'Angelo HendersonRB - DEN	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Quayvon HicksRB - TB	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Brian HillRB - ATL	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Elijah HoodRB - OAK	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Kareem HuntRB - KC	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Aaron JonesRB - GBView Videos	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Alvin KamaraRB - NO	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	T.J. LoganRB - ARI	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Marshawn LynchRB - OAKView NewsView Videos	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Marlon MackRB - INDView Videos	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Devante MaysRB - GB	Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Christian McCaffreyRB - CARView Videos	Bye	-	-	-	-	-	-	-	-	-	-	0
RB		Bye	-	-	-	-	-	-	-	-	-	-	0
RB	Elijah McGuireRB - NYJ												
RB	Jeremy McNicholsRB - TB	Bye	-	-	-	-	-	-	-	-	-	-	0
