Pos,Num,Player Name,Status,Quick Stats,TCKL,SCK,FF,INT,Team
OLB,57,"Harold, Eli",ACT,TCKL,37,3,1,--,SF
LB,49,"Harrell, Anthony",ACT,TCKL,--,--,--,--,BUF
LB,51,"Harris, David",ACT,TCKL,95,0.5,0,--,NE
LB,48,"Harris, Najee",ACT,TCKL,--,--,--,--,OAK
LB,58,"Harris, Nigel",ACT,TCKL,--,--,--,--,LAC
OLB,92,"Harrison, James",ACT,TCKL,53,5,2,1,PIT
LB,40,"Harvey-Clemons, Josh",ACT,TCKL,--,--,--,--,WAS
MLB,50,"Heeney, Ben",ACT,TCKL,15,0,0,--,OAK
LB,55,"Heiman, Cody",ACT,TCKL,--,--,--,--,GB
OLB,58,"Henderson, Erin",UFA,TCKL,21,0,0,--,NYJ
OLB,44,"Herzlich, Mark",ACT,TCKL,7,0,0,--,NYG
OLB,46,"Hewitt, Neville",ACT,TCKL,64,1,0,--,MIA
MLB,58,"Hicks, Jordan",ACT,TCKL,85,1,0,5,PHI
MLB,54,"Hightower, Dont'a",ACT,TCKL,65,2.5,1,--,NE
MLB,59,"Hitchens, Anthony",ACT,TCKL,78,1.5,0,--,DAL
LB,40,"Hodges, Gerald",ACT,TCKL,83,3,1,2,BUF
LB,69,"Hollins, Deon",ACT,TCKL,--,--,--,--,DEN
LB,49,"Horton, Justin",ACT,TCKL,--,--,--,--,JAX
OLB,99,"Houston, Lamarr",ACT,TCKL,4,0,0,--,CHI
OLB,50,"Houston, Justin",ACT,TCKL,21,4,1,--,KC
LB,41,"Huguenin, Farrington",ACT,TCKL,--,--,--,--,PIT
LB,45,"Hull, Mike",ACT,TCKL,33,0,0,1,MIA
LB,50,"Humber, Ramon",ACT,TCKL,16,0,0,--,BUF
OLB,51,"Irvin, Bruce",ACT,TCKL,57,7,6,--,OAK
LB,47,"Irving, Isaiah",ACT,TCKL,--,--,--,--,CHI
OLB,44,"Jack, Myles",ACT,TCKL,24,0.5,0,--,JAX
ILB,52,"Jackson, D'Qwell",UFA,TCKL,78,1,0,--,IND
ILB,53,"Jackson, Edwin",ACT,TCKL,66,2,0,--,IND
LB,53,"Jacobs, Ben",ACT,TCKL,0,--,--,--,CAR
MLB,57,"James, Cory",ACT,TCKL,48,0,1,--,OAK
LB,53,"Jenkins, Jelani",ACT,TCKL,29,0,0,--,OAK
OLB,48,"Jenkins, Jordan",ACT,TCKL,41,2.5,1,--,NYJ
ILB,56,"Johnson, Derrick",ACT,TCKL,90,1,0,1,KC
LB,51,"Johnson, Steven",ACT,TCKL,6,0,1,--,PIT
LB,51,"Johnson, Tre'Von",ACT,TCKL,--,--,--,--,ARI
OLB,55,"Jones, Chandler",ACT,TCKL,49,11,4,--,ARI
LB,52,"Jones, Christian",ACT,TCKL,15,0,0,--,CHI
MLB,45,"Jones, Deion",ACT,TCKL,108,0,1,3,ATL
LB,93,"Jones, Jarvis",ACT,TCKL,42,1,2,1,ARI
LB,43,"Jones, Joe",ACT,TCKL,--,--,--,--,DAL
LB,99,"Judon, Matt",ACT,TCKL,27,4,0,--,BAL
LB,57,"Kelsey, Keith",ACT,TCKL,--,--,--,--,PIT
MLB,54,"Kendricks, Eric",ACT,TCKL,109,2.5,1,1,MIN
OLB,95,"Kendricks, Mychal",ACT,TCKL,32,0,0,--,PHI
OLB,59,"Kennard, Devon",ACT,TCKL,61,1,1,--,NYG
OLB,91,"Kerrigan, Ryan",ACT,TCKL,33,11,2,--,WAS
LB,52,"Keyes, Josh",ACT,TCKL,3,0,0,0,ATL
OLB,44,"Kikaha, Hau'oli",ACT,TCKL,--,--,--,--,NO
LB,56,"King, Deon",ACT,TCKL,2,0,0,0,CLE
ILB,58,"Kirksey, Christian",ACT,TCKL,148,2.5,0,--,CLE
LB,53,"Klein, A.J.",ACT,TCKL,31,1,2,--,NO
LB,50,"Knox, Jeff",ACT,TCKL,--,--,--,--,TB
MLB,59,"Kuechly, Luke",ACT,TCKL,102,2,1,1,CAR
ILB,44,"Kwiatkoski, Nick",ACT,TCKL,44,1,1,--,CHI
LB,44,"Lacey, Deon",ACT,TCKL,--,--,--,--,MIA
LB,59,"Lamur, Emmanuel",ACT,TCKL,13,0,0,--,MIN
LB,48,"Langi, Harvey",ACT,TCKL,--,--,--,--,NE
LB,58,"Lawson, Carl",ACT,TCKL,--,--,--,--,CIN
ILB,50,"Lee, Darron",ACT,TCKL,73,1,0,--,NYJ
LB,56,"Lee, Elijah",ACT,TCKL,--,--,--,--,MIN
LB,47,"Lee, Eric",ACT,TCKL,--,--,--,--,HOU
LB,55,"Lee, Marquel",ACT,TCKL,--,--,--,--,OAK
OLB,50,"Lee, Sean",ACT,TCKL,145,0,0,--,DAL
OLB,44,"Lemonier, Corey",ACT,TCKL,9,2,1,0,NYJ
LB,59,"Letuligasenoa, Josh",ACT,TCKL,--,--,--,--,GB
OLB,54,"Levy, DeAndre",UFA,TCKL,21,0,0,--,DET
LB,46,"Lewis, LaTroy",ACT,TCKL,--,--,--,--,OAK
LB,48,"Lindsey, Jacob",ACT,TCKL,--,--,--,--,BUF
OLB,58,"Littleton, Cory",ACT,TCKL,20,0,0,--,LA
LB,46,"Logan, Abner",ACT,TCKL,--,--,--,--,BUF
LB,47,"Lokombo, Boseko",ACT,TCKL,--,--,--,--,BAL
OLB,54,"Longa, Steve",ACT,TCKL,0,--,--,--,DET
LB,47,"Lotulelei, John",ACT,TCKL,--,--,--,--,DAL
LB,59,"Louis, Lamar",ACT,TCKL,0,0,0,0,BAL
OLB,59,"Lynch, Aaron",ACT,TCKL,13,1.5,0,--,SF
LB,52,"Lynch, Cameron",ACT,TCKL,3,0,0,--,TB
LB,,"Lynn, Jack",ACT,TCKL,--,--,--,--,ATL
ILB,59,"March-Lillard, Justin",ACT,TCKL,22,0,0,--,KC
LB,46,"Marley, Nico",ACT,TCKL,--,--,--,--,WAS
ILB,54,"Marshall, Brandon",ACT,TCKL,52,0,0,--,DEN
LB,50,"Martin, Gabe",ACT,TCKL,4,0,0,--,ARI
LB,95,"Martin, Josh",ACT,TCKL,15,0.5,0,--,NYJ
LB,96,"Martin, Kareem",ACT,TCKL,10,1,1,--,ARI
ILB,50,"Martinez, Blake",ACT,TCKL,69,1,0,1,GB
OLB,44,"Matakevich, Tyler",ACT,TCKL,20,0,0,--,PIT
LB,49,"Mathews, Derrick",ACT,TCKL,--,--,--,--,GB
OLB,98,"Mathis, Robert",UFA,TCKL,20,5,3,--,IND
OLB,52,"Matthews, Clay",ACT,TCKL,24,5,1,--,GB
MLB,58,"Maualuga, Rey",UFA,TCKL,27,0,0,1,CIN
ILB,90,"Mauga, Josh",ACT,TCKL,--,--,--,--,KC
OLB,55,"Mauldin, Lorenzo",ACT,TCKL,16,2.5,0,1,NYJ
OLB,56,"Mauti, Michael",UFA,TCKL,9,1,1,--,NO
