Pos,Num,Player Name,Status,REC,YDS,AVG,TDS,Team
WR,19,"Butler, Brice",ACT,16,219,13.7,3,DAL
WR,17,"Butler, Jeremy",ACT,2,11,5.5,0,BUF
WR,18,"Byrd, Damiere",ACT,1,16,16,0,CAR
WR,12,"Campanaro, Michael",ACT,0,0,--,0,BAL
WR,8,"Cannon, KD",ACT,--,--,--,--,NYJ
WR,84,"Carr, Austin",ACT,--,--,--,--,NE
WR,88,"Carroo, Leonte",ACT,3,29,9.7,1,MIA
WR,14,"Carter, DeAndre",ACT,--,--,--,--,SF
WR,80,"Chesson, Jehu",ACT,--,--,--,--,KC
WR,17,"Clark, Larry",ACT,--,--,--,--,ARI
WR,89,"Clark, Michael",ACT,--,--,--,--,GB
WR,83,"Clay, Kaelin",ACT,--,--,--,--,CAR
WR,14,"Coates, Sammie",ACT,21,435,20.7,2,PIT
WR,18,"Cobb, Randall",ACT,60,610,10.2,4,GB
WR,84,"Cole, Keelan",ACT,--,--,--,--,JAX
WR,16,"Coleman, Brandon",ACT,26,281,10.8,3,NO
WR,19,"Coleman, Corey",ACT,33,413,12.5,3,CLE
WR,13,"Coley, Stacy",ACT,--,--,--,--,MIN
WR,17,"Conley, Chris",ACT,44,530,12,0,KC
WR,14,"Cooks, Brandin",ACT,78,"1,173",15,8,NE
WR,89,"Cooper, Amari",ACT,83,"1,153",13.9,5,OAK
WR,10,"Cooper, Pharoh",ACT,14,106,7.6,0,LA
WR,16,"Core, Cody",ACT,17,200,11.8,0,CIN
WR,15,"Crabtree, Michael",ACT,89,"1,003",11.3,8,OAK
WR,9,"Crockett, Montay",ACT,--,--,--,--,GB
WR,80,"Crowder, Jamison",ACT,67,847,12.6,7,WAS
WR,80,"Cruz, Victor",ACT,39,586,15,1,CHI
WR,16,"Dable, Anthony",ACT,--,--,--,--,ATL
WR,35,"Daniels, B.J.",ACT,--,--,--,--,ATL
WR,84,"Darboh, Amara",ACT,--,--,--,--,SEA
WR,84,"Davis, Corey",ACT,--,--,--,--,TEN
WR,11,"Davis, Geremy",ACT,0,0,--,0,LAC
WR,1,"Davis, Reggie",ACT,--,--,--,--,ATL
WR,19,"Davis, Robert",ACT,--,--,--,--,WAS
WR,2,"Davis, Titus",ACT,--,--,--,--,CHI
WR,11,"Davis, Trevor",ACT,3,24,8,1,GB
WR,87,"Decker, Eric",ACT,9,194,21.6,2,TEN
WR,4,"Dieter, Gehrig",ACT,--,--,--,--,KC
WR,14,"Diggs, Stefon",ACT,84,903,10.8,3,MIN
WR,83,"Dobson, Aaron",ACT,--,--,--,--,ARI
WR,18,"Doctson, Josh",ACT,2,66,33,0,WAS
WR,15,"Dorsett, Phillip",ACT,33,528,16,2,IND
WR,83,"Douglas, Harry",ACT,15,210,14,0,TEN
WR,16,"Duke, Austin",ACT,--,--,--,--,CAR
WR,19,"Dupre, Malachi",ACT,--,--,--,--,GB
WR,14,"Dural, Travin",ACT,--,--,--,--,NO
WR,17,"Dye, Donteea",ACT,--,--,--,--,TB
WR,81,"Easley, Marcus",UFA,--,--,--,--,BUF
WR,11,"Edelman, Julian",ACT,98,"1,106",11.3,3,NE
WR,10,"Ellington, Bruce",ACT,--,--,--,--,SF
WR,81,"Enunwa, Quincy",ACT,58,857,14.8,4,NYJ
