Pos,Num,Player Name,Status,Quick Stats,TCKL,SCK,FF,INT,Team
DE,93,"Guy, Lawrence",ACT,TCKL,28,1,1,--,NE
DE,58,"Gwacham, Obum",ACT,TCKL,0,--,--,--,NO
DT,77,"Hageman, Ra'Shede",ACT,TCKL,18,2,0,--,ATL
DE,74,"Hall, Daeshon",ACT,TCKL,--,--,--,--,CAR
DT,66,"Hamilton, Justin",ACT,TCKL,--,--,--,--,PHI
DT,74,"Hamilton, Woodrow",ACT,TCKL,3,0,0,--,NE
DT,95,"Hankins, Johnathan",ACT,TCKL,43,3,1,--,IND
DT,91,"Hardison, Marcus",ACT,TCKL,--,--,--,--,CIN
NT,79,"Hargrave, Javon",ACT,TCKL,27,2,0,--,PIT
DE,90,"Harris, Charles",ACT,TCKL,--,--,--,--,MIA
DE,96,"Harris, Shelby",ACT,TCKL,--,--,--,--,DEN
DE,64,"Harris, Tylor",ACT,TCKL,--,--,--,--,SEA
DT,98,"Harrison, Damon",ACT,TCKL,86,2.5,1,--,NYG
NT,97,"Hatley, Rickey",ACT,TCKL,--,--,--,--,HOU
DE,95,"Hayes, William",ACT,TCKL,43,5,0,--,MIA
DE,93,"Heath, Joel",ACT,TCKL,8,2,0,--,HOU
DE,91,"Hendrickson, Trey",ACT,TCKL,--,--,--,--,NO
DT,69,"Henry, Willie",ACT,TCKL,0,--,--,--,BAL
DT,90,"Hester, Treyvon",ACT,TCKL,--,--,--,--,OAK
DE,97,"Heyward, Cameron",ACT,TCKL,21,3,0,--,PIT
DE,96,"Hicks, Akiem",ACT,TCKL,54,7,2,--,CHI
DT,93,"Hill, Jordan",ACT,TCKL,0,0,0,0,DET
DE,91,"Holmes, Tyrone",ACT,TCKL,6,1,0,--,CLE
NT,90,"Hood, Ziggy",ACT,TCKL,33,1,1,--,WAS
DT,65,"Hooks, Lavon",ACT,TCKL,--,--,--,--,PIT
DE,96,"Horton, Wes",ACT,TCKL,11,2.5,2,--,CAR
DT,95,"Howard, Jaye",ACT,TCKL,23,1,0,--,CHI
DE,55,"Hughes, Jerry",ACT,TCKL,48,6,1,--,BUF
DE,67,"Hughes, John",UFA,TCKL,6,0,0,0,TB
DT,74,"Hughes, Montori",ACT,TCKL,0,--,--,--,KC
DE,94,"Hunt, Margus",ACT,TCKL,17,0,0,--,IND
DE,99,"Hunter, Danielle",ACT,TCKL,56,12.5,1,--,MIN
DE,61,"Hyder, Kerry",ACT,TCKL,36,8,0,--,DET
DE,67,"Ifedi, Martin",ACT,TCKL,--,--,--,--,ATL
DE,54,"Ingram, Melvin",ACT,TCKL,60,8,4,--,LAC
DT,98,"Ioannidis, Matthew",ACT,TCKL,8,0,0,--,WAS
DT,95,"Irving, David",ACT,TCKL,17,4,4,--,DAL
DT,74,"Ivie, Joey",ACT,TCKL,--,--,--,--,DAL
DE,94,"Jackson, Tyson",UFA,TCKL,13,0,0,--,ATL
DE,98,"Jackson, Branden",ACT,TCKL,1,0,0,--,OAK
DT,97,"Jackson, Malik",ACT,TCKL,33,6.5,0,--,JAX
DT,97,"Jarrett, Grady",ACT,TCKL,48,3,0,--,ATL
DT,98,"Jarrett, Tyrique",ACT,TCKL,--,--,--,--,DEN
DT,95,"Jean Francois, Ricky",ACT,TCKL,32,1.5,0,--,GB
DT,65,"Jefferson, A.J.",ACT,TCKL,--,--,--,--,LA
DT,99,"Jefferson, Quinton",ACT,TCKL,1,0,0,--,SEA
DE,,"Jenkins, Alex",ACT,TCKL,--,--,--,--,NO
DT,73,"Jenkins, Cullen",UFA,TCKL,16,1.5,0,--,WAS
DT,94,"Jenkins, Jarvis",ACT,TCKL,14,0,0,0,KC
DT,73,"Jenkins, John",ACT,TCKL,13,0,0,0,CHI
DE,67,"Jenkins, Shaneil",ACT,TCKL,--,--,--,--,SEA
DT,93,"Jernigan, Timmy",ACT,TCKL,31,5,0,1,PHI
DE,63,"Jerod-Eddie, Tony",UFA,TCKL,3,0,0,--,SF
DT,75,"Johnson, Anthony",ACT,TCKL,12,0,0,0,NYJ
NT,94,"Johnson, Austin",ACT,TCKL,14,0.5,0,--,TEN
DE,57,"Johnson, Cam",ACT,TCKL,32,3,2,--,CLE
DE,95,"Johnson, Charles",ACT,TCKL,26,4,3,--,CAR
DE,94,"Johnson, George",ACT,TCKL,--,--,--,--,TB
DT,94,"Johnson, Jaleel",ACT,TCKL,--,--,--,--,MIN
DE,90,"Johnson, Michael",ACT,TCKL,45,3.5,0,--,CIN
DT,63,"Johnson, Toby",ACT,TCKL,2,0,0,--,CAR
DT,92,"Johnson, Tom",ACT,TCKL,17,2,0,1,MIN
DT,95,"Jones, Abry",ACT,TCKL,32,0,0,--,JAX
DE,97,"Jones, Arthur",UFA,TCKL,30,0,0,--,IND
DE,95,"Jones, Chris",ACT,TCKL,28,2,0,--,KC
DT,93,"Jones, Chris",ACT,TCKL,23,0,0,0,SF
DE,56,"Jones, Lenny",ACT,TCKL,--,--,--,--,DAL
DE,90,"Jones, DaQuan",ACT,TCKL,26,1.5,0,--,TEN
