Pos,Num,Player Name,Status,TCKL,SCK,FF,INT,Team
DB,48,"Hayes, De'Chavon",ACT,--,--,--,--,ARI
CB,26,"Hayward, Casey",ACT,58,0,0,7,LAC
SS,38,"Heath, Jeff",ACT,23,0,0,1,DAL
DB,37,"Hendy, A.J.",ACT,0,--,--,--,MIA
DB,40,"Henry, Daniel",ACT,--,--,--,--,BAL
DB,39,"Hightower, Lee",ACT,--,--,--,--,IND
CB,42,"Hill, Alvin",ACT,--,--,--,--,CLE
SS,44,"Hill, Delano",ACT,--,--,--,--,SEA
DB,43,"Hill, Jaylen",ACT,--,--,--,--,BAL
CB,32,"Hill, Troy",ACT,40,0,0,--,LA
CB,28,"Hillary, Darius",ACT,0,--,--,--,CLE
DB,40,"Hilton, Mike",ACT,--,--,--,--,PIT
DB,38,"Holmes, Daquan",ACT,--,--,--,--,GB
DB,20,"Holsey, Joshua",ACT,--,--,--,--,WAS
DB,37,"Homer, Tevin",ACT,--,--,--,--,WAS
SAF,29,"Hooker, Malik",ACT,--,--,--,--,IND
DB,33,"Hope, Larry",ACT,--,--,--,--,MIA
DB,31,"House, Davon",ACT,17,0,0,--,GB
FS,36,"Houston-Carson, DeAndre",ACT,2,0,0,--,CHI
CB,36,"Howard, Tracy",ACT,20,0,0,--,JAX
CB,25,"Howard, Xavien",ACT,40,0,1,--,MIA
DB,36,"Humes, Chris",ACT,--,--,--,--,OAK
DB,29,"Humphrey, Marlon",ACT,--,--,--,--,BAL
CB,39,"Hunter, Michael",ACT,4,0,0,--,NYG
DB,30,"Hurst, Demontre",ACT,14,1,0,1,TEN
SS,23,"Hyde, Micah",ACT,58,1,0,3,BUF
SS,32,"Ihedigbo, James",UFA,16,0,0,--,BUF
DB,23,"Ihenacho, Duke",ACT,66,0,0,--,NYG
FS,43,"Iloka, George",ACT,74,0,0,3,CIN
SS,36,"Ishmael, Kemal",ACT,52,0,0,--,ATL
CB,30,"Iworah, Prince Charles",ACT,1,0,0,--,SF
CB,25,"Jackson, Adoree'",ACT,--,--,--,--,TEN
DB,39,"Jackson, Eddie",ACT,--,--,--,--,CHI
CB,25,"Jackson, Kareem",ACT,62,0,0,1,HOU
DB,30,"Jackson, Asa",UFA,7,0,0,0,DET
CB,22,"Jackson, William",ACT,--,--,--,--,CIN
DB,43,"James, Chanceller",ACT,--,--,--,--,SF
DB,38,"James, Charles",ACT,20,0,0,0,BUF
